Id;Label;City;State;Country;Operating Status;Company Type;Number of Investments;Number of Lead Investments;Number of Diversity Investments;Number of Exits;Number of Lead Investors;Number of Investors;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount;Last Funding Type;Last Equity Funding Type;Last Equity Funding Amount;Total Funding Amount;Number of Events;Aberdeen - IT Spend;Lat Country;Long Country;Lat State;Long State
Hyperplane Venture Capital;Hyperplane Venture Capital;Boston; Massachusetts; United States;Active;Non Profit;72;23;15;5;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;42,3788774;-72,032366
K3 Ventures;K3 Ventures;Singapore; Central Region; Singapore;Active;Non Profit;62;3;1;7;0;0;0;;;0;;;0;0;0;0;1,357107;103,8194992;1,28593325;103,8070165
Mayfield Fund;Mayfield Fund;Menlo Park; California; United States;Active;Non Profit;615;181;82;182;0;0;0;;;0;;;0;0;0;33933;39,7837304;-100,445882;36,7014631;-118,755997
Northstar Ventures;Northstar Ventures;Newcastle Upon Tyne; Newcastle upon Tyne; United Kingdom;Active;Non Profit;488;40;2;22;0;0;0;;;0;;;0;0;0;13042437;54,7023545;-3,2765753;54,9738474;-1,6131572
Hannah Grey;Hannah Grey;New York; New York; United States;Active;Non Profit;9;4;4;0;1;1;1;;12/01/2022;0;Corporate Round;Corporate Round;0;0;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
Innovation Endeavors;Innovation Endeavors;Palo Alto; California; United States;Active;Non Profit;211;42;23;36;0;0;0;;;0;;;0;0;0;421754;39,7837304;-100,445882;36,7014631;-118,755997
Prelude Ventures;Prelude Ventures;San Francisco; California; United States;Active;Non Profit;106;23;14;10;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
MUFG Bank;MUFG Bank;Tokyo; Tokyo; Japan;Active;For Profit;56;13;2;19;0;0;0;;;0;;;0;0;0;0;36,5748441;139,2394179;35,6821936;139,762221
NOEMIS Ventures;NOEMIS Ventures;New York; New York; United States;Active;For Profit;24;6;14;2;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;40,7127281;-74,0060152
HTC;HTC;TaoyÃ¼an; T'ai-wan; Taiwan;Active;For Profit;32;11;3;6;0;0;0;IPO;;0;;;0;0;9;0;23,5983227;120,8353769;25,03732905;121,5095605
Premier Tech;Premier Tech;RiviÃ¨re-du-loup; Quebec; Canada;Active;Non Profit;0;0;0;0;1;1;1;M&A;22/04/2013;8000000;Venture - Series Unknown;Venture - Series Unknown;8000000;8000000;0;0;61,0666922;-107,991707;52,4760892;-71,8258668
NextGen Venture Partners;NextGen Venture Partners;Baltimore; Maryland; United States;Active;Non Profit;84;13;19;9;0;1;1;M&A;8/09/2015;0;Seed;Seed;0;0;0;0;39,7837304;-100,445882;39,5162401;-76,9382069
Prosus Ventures;Prosus Ventures;Cape Town; NA - South Africa; South Africa;Active;Non Profit;65;32;5;2;0;0;0;;;0;;;0;0;0;0;-28,8166236;24,991639;-28,47929;26,12789413
SaaS Ventures;SaaS Ventures;Washington; District of Columbia; United States;Active;Non Profit;76;3;10;5;0;0;0;;;0;;;0;0;1;0;39,7837304;-100,445882;38,89384735;-76,98804282
Revo Capital;Revo Capital;Amsterdam; Noord-Holland; The Netherlands;Active;Non Profit;43;8;2;5;0;0;0;;;0;;;0;0;0;0;52,24764975;5,541246849;52,7212825;4,820665
IFC;IFC;New York; New York; United States;Active;For Profit;12;3;0;1;0;0;0;;;0;;;0;0;2;0;39,7837304;-100,445882;40,7127281;-74,0060152
Massachusetts Life Sciences Center;Massachusetts Life Sciences Center;Waltham; Massachusetts; United States;Active;For Profit;160;143;24;7;0;0;2;;1/05/2019;2820000;Grant;;0;6220000;0;405171;39,7837304;-100,445882;42,3788774;-72,032366
Piton Capital;Piton Capital;London; England; United Kingdom;Active;Non Profit;95;22;4;11;0;0;0;;;0;;;0;0;0;7699921;54,7023545;-3,2765753;52,5310214;-1,2649062
IONIQ;IONIQ;Berlin; Berlin; Germany;Active;Non Profit;11;2;0;2;0;8;2;Early Stage Venture;7/05/2012;5220766;Series A;Series A;5220766;5220767;3;0;51,1638175;10,4478313;52,5170365;13,3888599
lool Ventures;lool Ventures;Tel Aviv; Tel Aviv; Israel;Active;Non Profit;75;28;1;6;0;0;0;;;0;;;0;0;0;0;30,8124247;34,8594762;32,0852997;34,7818064
Great West Lifeco;Great West Lifeco;Winnipeg; Manitoba; Canada;Active;For Profit;3;1;0;2;0;0;1;IPO;25/03/2014;100407586;Post-IPO Equity;Post-IPO Equity;100407586;100407586;0;0;61,0666922;-107,991707;55,001251;-97,001038
